isbn,title,writer,publisher,avg_score
9780786887170,Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You.,Seth Godin/Malcolm Gladwell,Hachette Books,3.98
9780060521998,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen/L.J. Ganser,Harper Paperbacks,3.99
9780141439563,Great Expectations,Charles Dickens/David Trotter/Charlotte Mitchell,Penguin Books,3.77
9780393960693,Great Expectations: Authoritative Text  Backgrounds  Contexts  Criticism,Charles Dickens/Edgar Rosenberg,W.W. Norton & Company,3.77
9780664241582,Luther and Erasmus: Free Will and Salvation (Library of Christian Classics),Erasmus/Martin Luther/Philip S. Watson/E. Gordon Rupp,Westminster John Knox Press,3.8
9780060935467,To Kill a Mockingbird,Harper Lee,Harper Perennial Modern Classics,4.27
9780060888695,To Kill a Mockingbird,Harper Lee/Sissy Spacek,Caedmon,4.27
9780061205699,To Kill a Mockingbird,Harper Lee,Harper,4.27
9780761501664,The Wealthy Barber: Everyone's Common-Sense Guide to Becoming Financially Independent,David H. Chilton,Prima Lifestyles,4.02
9780486287591,A Modest Proposal and Other Satirical Works,Jonathan Swift,Dover Publications,4.05
9781416500391,Gulliver's Travels / A Modest Proposal,Jonathan Swift/Jesse Gale,Simon  Schuster,3.79
9781556434952,Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C./Xavier de C./Joseph Rowe,North Atlantic Books,4.67
9780192834423,The Bostonians,Henry James/R.D. Gooder,Oxford University Press,3.59
9781931082303,Novels 1896–1899: The Other House / The Spoils of Poynton / What Maisie Knew / The Awkward Age,Henry James/Myra Jehlen,Library of America,4.28
9781931082884,Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James/Leo Bersani,Library of America,4.63
9781883011093,Complete Stories 1892–1898,Henry James/John Hollander/David Bromwich,Library of America,4.22
9780140424386,The Canterbury Tales,Geoffrey Chaucer/Nevill Coghill,Penguin Classics,3.49
9780192833600,The Canterbury Tales,Geoffrey Chaucer/David  Wright,Oxford University Press,3.49
9780140422344,The Canterbury Tales (original-spelling edition),Geoffrey Chaucer/Jill Mann,Penguin Classics,3.49
9780812000399,Chaucer's Canterbury Tales (Selected): An Interlinear Translation,Geoffrey Chaucer/Vincent Foster Hopper,Barrons Educational Series,3.8
9780198711551,Oxford Guides to Chaucer: The Canterbury Tales,Helen  Cooper,Oxford University Press  USA,4.02
9780140444087,Love Visions,Geoffrey Chaucer/Brian Stone,Penguin Classics,3.61
9780671475024,Chaucer's Canterbury Tales,Geoffrey Chaucer,Washington Square Press,3.49
9780395290316,The Riverside Chaucer,Geoffrey Chaucer/Larry Dean Benson/F.N. Robinson,Houghton Mifflin,4.18
9780140150810,The Portable Chaucer,Geoffrey Chaucer/Theodore Morrison,Penguin Books,3.86
9780142001615,Salt: A World History,Mark Kurlansky,Penguin Books,3.74
9780689834196,Salt in His Shoes: Michael Jordan in Pursuit of a Dream,Deloris Jordan/Kadir Nelson/Roslyn M. Jordan,Simon  Schuster Books for Young Readers,4.2
9780618446889,The Book of Salt,Monique Truong,Mariner Books,3.52
9780394755267,Cities of Salt (مدن الملح #1),Abdul Rahman Munif/Peter Theroux,Vintage,4.13
9780553580075,The Years of Rice and Salt,Kim Stanley Robinson,Bantam Books,3.73
9780805202410,Illuminations: Essays and Reflections,Walter Benjamin/Hannah Arendt/Harry Zohn/Leon Wieseltier,Schocken,4.29
9780300115864,Saul Steinberg: Illuminations,Saul Steinberg/Joel Smith/Charles Simic,Yale University Press,4.51
9781568813073,Advanced Global Illumination,Philip Dutre,A K PETERS,4.5
9780747546559,Snow Falling On Cedars,David Guterson,Bloomsbury Publishing PLC,3.83
9781558745155,The Lost Boy (Dave Pelzer #2),Dave Pelzer,Health Communications Inc,4.1
9780805061833,Real Boys: Rescuing Our Sons from the Myths of Boyhood,William S. Pollack/Mary Pipher,Owl Publishing Company,3.83
9780007179817,Microserfs,Douglas Coupland,Harper Perennial,3.88
9780415283045,New Media Language,Jean Aitchison/Diana M. Lewis,Routledge,3.0
9780684832401,The Denial of Death,Ernest Becker/Sam Keen/Daniel Goleman,Free Press,4.16
9780060838652,A People's History of the United States,Howard Zinn,Harper Perennial,4.08
9781565848269,A People's History of the United States,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,The New Press,4.08
9781565847255,A People's History of the United States: The Civil War to the Present,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,The New Press,4.0
9780500203477,Graphic Design: A Concise History (World of Art),Richard Hollis,Thames  Hudson,4.0
9780822318644,Immigrant Acts: On Asian American Cultural Politics,Lisa Lowe,Duke University Press Books,4.0
9780395740101,The Old Way of Seeing: How Architecture Lost Its Magic - And How to Get It Back,Jonathan Hale,Mariner Books,3.92
9780060913076,The Crying of Lot 49,Thomas Pynchon,Harper Perennial,3.69
9780425181645,E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,Berkley Trade,4.09
9780307237200,Passionate Minds,David Bodanis,Crown Publishing Group (NY),4.1
9780940895485,Christian Mythmakers: C.S. Lewis  Madeleine L'Engle  J.R.R. Tolkien  George MacDonald  G.K. Chesterton  Charles Williams  Dante Alighieri  John Bunyan  Walter Wangerin  Robert Siegel  and Hannah Hurnard,Rolland Hein/Clyde S. Kilby,Cornerstone Press Chicago,3.93
9780440936855,A House Like a Lotus (O'Keefe Family  #3),Madeleine L'Engle,Dell,3.76
9780877887263,The Rock That Is Higher: Story as Truth,Madeleine L'Engle,Shaw Books,4.12
9780671686901,The Glorious Impossible,Madeleine L'Engle/Giotto di Bondone,Simon & Schuster Children's Publishing,4.25
9780877880202,A Full House: An Austin Family Christmas (Austin Family  #5.6),Madeleine L'Engle/Mary Chambers,Shaw,3.98
9780062545039,A Circle of Quiet (Crosswicks Journals #1),Madeleine L'Engle,HarperOne,4.21
9780521639873,The Birth of Tragedy and Other Writings,Friedrich Nietzsche/Raymond Geuss/Ronald Speirs,Cambridge University Press,4.04
9780385092104,The Birth of Tragedy/The Genealogy of Morals,Friedrich Nietzsche/Francis Golffing,Anchor,4.01
9781419154072,The Birth of Tragedy,Friedrich Nietzsche,Kessinger Publishing,3.98
9780140433395,The Birth of Tragedy,Friedrich Nietzsche/Michael Tanner/Shaun Whiteside,Penguin Classics,3.98
9780907129073,Birth Of A Tragedy: Kashmir 1947,Alastair Lamb,Roxford Books,4.0
9780195114157,The Tragedy of Pudd'nhead Wilson/Those Extraordinary Twins,Mark Twain/David Lionel Smith/Sherley Anne Williams,Oxford University Press  USA,3.79
9781400150687,The Tragedy of Pudd'nhead Wilson,Mark Twain/Michael Prichard,Tantor Media,3.79
9780060734015,Bridge to Terabithia,Katherine Paterson/Donna Diamond,HarperTeen,4.0
9780439271714,Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,Teaching Resources,5.0
9780618654796,Bread and Roses  Too,Katherine Paterson,Clarion Books,3.76
9780525464822,The Invisible Child,Katherine Paterson,Dutton Juvenile,4.27
9781559704649,A Short History of Decay,Emil M. Cioran/Richard Howard,Arcade Publishing,4.25
9780786902064,Scholar of Decay (Ravenloft  #14),Tanya Huff,TSR,3.46
9780452284937,Girl with a Pearl Earring,Tracy Chevalier,Plume Books,3.88
9780385415606,The Golden Tulip,Rosalind Laker,Doubleday,3.94
9780525949787,Burning Bright,Tracy Chevalier,Dutton,3.36
9780452283206,Falling Angels,Tracy Chevalier,Penguin Books,3.58
9780452284449,The Virgin Blue,Tracy Chevalier,Penguin Books,3.66
9783471772539,Wenn Engel fallen,Tracy Chevalier,List,3.58
9781857093315,Tom Hunter: Living in Hell and Other Stories,Tom Hunter/Tracy Chevalier/Colin Wiggins,National Gallery London,3.64
9781421506135,Bleach  Volume 15,Tite Kubo,VIZ Media LLC,4.42
9781591164418,Bleach  Volume 01,Tite Kubo,VIZ Media LLC,4.22
9781421506128,Bleach  Volume 14,Tite Kubo,VIZ Media LLC,4.38
9781421502717,Bleach  Volume 11,Tite Kubo,VIZ Media LLC,4.36
9781421504032,Bleach  Volume 12,Tite Kubo,VIZ Media LLC,4.36
9784088736211,DEATH NOTE デスノート 1,Tsugumi Ohba/Takeshi Obata/大場 つぐみ/小畑 健,集英社,4.43
9784088736716,Death Note  Vol. 4: 恋心 (Death Note  #4),Tsugumi Ohba/Takeshi Obata,Shueisha,4.39
9784088736525,Death Note  Vol. 3: 激走 (Death Note  #3),Tsugumi Ohba/Takeshi Obata,Shueisha,4.43
9780373028603,Love Artist (Harlequin Romance #2860),Valerie Parv,Harlequin Romance,3.25
9780307277763,Perfume: The Story of a Murderer,Patrick Süskind/John E. Woods,Vintage International,4.02
9783257228007,Das Parfum. Die Geschichte eines Mörders,Patrick Süskind,Diogenes,4.02
9780747534938,Three Stories and a Reflection,Patrick Süskind,Bloomsbury Publishing PLC,3.57
9780140105834,The Pigeon,Patrick Süskind,Penguin,3.68
9780747566755,The Story of Mr Sommer,Patrick Süskind/Jean-Jacques Sempé,Not Avail,3.84
9784088732138,Bleach―ブリーチ― 1 [Burīchi 1] (Bleach  #1),Tite Kubo,Shueisha,4.22
9782723442275,Bleach  Tome 1: The Death and the Strawberry,Tite Kubo,Glénat,4.22
9780440410256,Escape from Fire Mountain (World of Adventure  #3),Gary Paulsen/Steve Chorney,Yearling,3.67
9780440229353,How Angel Peterson Got His Name,Gary Paulsen,Yearling,3.93
9780440419679,Tucket's Travels: Francis Tucket's Adventures In The West  1847-1849 (The Tucket Adventures  #1-5),Gary Paulsen,Yearling,4.44
9780306801457,Chicago Blues: The City and the Music,Mike  Rowe/Ronald Radano,Da Capo Press,3.92
9780156001458,Winterdance: The Fine Madness of Running the Iditarod,Gary Paulsen,Mariner Books,4.26
9780385321983,Brian's Winter,Gary Paulsen,Delacorte Books for Young Readers,4.01
9780375757327,Robinson Crusoe (Robinson Crusoe #1),Daniel Defoe/Virginia Woolf,Modern Library,3.67
9780141439822,Robinson Crusoe,Daniel Defoe/John J. Richetti,Penguin Classics,3.67
9780393964523,Robinson Crusoe,Daniel Defoe/Michael Shinagel,W.W. Norton & Company,3.67
9780689844089,Robinson Crusoe,Daniel Defoe/Avi,Aladdin,3.67
9781587263880,Robinson Crusoe,Daniel Defoe,Ann Arbor Media,3.67
9780486404882,A General History of the Pyrates,Daniel Defoe/Manuel Schonhorn/Charles   Johnson,Dover Publications,3.72
9780520238954,Huck Finn & Tom Sawyer among the Indians & Other Unfinished Stories (Mark Twain Library),Mark Twain/Paul Baender/Dahlia Armon/Walter Blair,University of California Press,3.85
9781555176808,Huck Finn and Tom Sawyer Among the Indians,Mark Twain/Lee Nelson,Council Press,3.57
9781883011888,Huck Finn/Pudd'nhead Wilson/No 44 Mysterious Stranger other Writings,Mark Twain/Guy Cardwell/Louis J. Budd,Library of America,4.06
9780142437179,The Adventures of Huckleberry Finn (Adventures of Tom and Huck  #2),Mark Twain/Guy Cardwell/John Seelye/Walter Trier,Penguin Classics,3.82
9780486443225,Adventures of Huckleberry Finn,Mark Twain/E.W. Kemble,Dover Publications,3.82
9780375757372,Adventures of Huckleberry Finn,Mark Twain/George Saunders,The Modern Library,3.82
9780393020397,The Annotated Huckleberry Finn,Mark Twain/Michael Patrick Hearn/E.W. Kemble,W. W. Norton  Company,3.82
9780486406640,The Wit and Wisdom of Mark Twain,Mark Twain,Dover Publications,4.2
9780520242456,Mark Twain's Helpful Hints for Good Living: A Handbook for the Damned Human Race,Mark Twain/Lin Salamo/Victor Fischer/Michael B. Frank,University of California Press,3.86
9780553211955,The Complete Short Stories of Mark Twain,Mark Twain/Charles Neider,Bantam Classics,4.28
9780060955427,The Autobiography of Mark Twain,Mark Twain/Charles Neider,Harper Perennial,4.05
9780940450738,Collected Tales  Sketches  Speeches  & Essays 1891–1910,Mark Twain/Louis J. Budd,Library of America,4.39
9780060594527,Lost Horizon,James Hilton,Harper Perennial,3.92
9781589199507,Louisa May Alcott's Christmas Treasury,Louisa May Alcott/C. Michael Dudash/Stephen W. Hines,David C Cook,3.96
9780671019877,My Secret Garden: Women's Sexual Fantasies,Nancy Friday,Pocket Books,3.68
9780517189603,The Secret Garden,Frances Hodgson Burnett,Children's Classics,4.13
9780451528834,The Secret Garden,Frances Hodgson Burnett/Sandra M. Gilbert,Signet,4.13
9781402713194,The Secret Garden,Martha Hailey DuBose/Frances Hodgson Burnett/Lucy Corvino/Arthur Pober,Sterling,4.33
9780142437056,The Secret Garden,Frances Hodgson Burnett/Alison Lurie,Penguin Classics,4.13
9780142437018,A Little Princess,Frances Hodgson Burnett/Nancy Bond,Penguin Books,4.2
9780879237905,Waiting for the Party: The Life of Frances Hodgson Burnett  1849-1924,Ann Thwaite,David R. Godine Publisher,3.8
9780060277406,The Secret Garden Cookbook: Recipes Inspired by Frances Hodgson Burnett's The Secret Garden,Amy Cotler/Frances Hodgson Burnett/Prudence See,Festival,4.3
9780465081455,Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,Basic Books,4.32
9780465002603,Basic Economics: A Common Sense Guide to the Economy,Thomas Sowell,Basic Books (AZ),4.32
9781594030864,Black Rednecks and White Liberals,Thomas Sowell,Encounter Books,4.38
9780465081431,Applied Economics: Thinking Beyond Stage One,Thomas Sowell,Basic Books,4.14
9780465037384,Knowledge And Decisions,Thomas Sowell,Basic Books,4.39
9780465081424,A Conflict of Visions: Ideological Origins of Political Struggles,Thomas Sowell,Basic Books,4.31
9780744520057,Sir Gawain and the Green Knight,Selina Shirley Hastings/Juan Wijngaard,Walker Books Ltd,3.91
9780916856595,Alcoholics Anonymous,Alcoholics Anonymous,Alcoholics Anonymous World Services Inc,4.45
9781893007161,Alcoholics Anonymous,Alcoholics Anonymous,AA World Services,4.45
9780960989867,The Twelve Steps & Twelve Traditions of Overeaters Anonymous,Overeaters Anonymous,Overeaters Anonymous  Incorporated,4.36
9780395530078,The Natural Way to Draw,Kimon Nicolaides/Mamie Harmon,Mariner Books,3.9
9780618479030,Natural Health  Natural Medicine,Andrew Weil,Mariner Books,4.11
9780374529383,The Fixer,Bernard Malamud/Jonathan Safran Foer,Farrar  Straus and Giroux,3.96
9780374525750,The Complete Stories,Bernard Malamud/Robert Giroux,Farrar  Straus and Giroux,4.22
9780374504847,The Assistant,Bernard Malamud/Jonathan Rosen,Farrar Straus and Giroux,3.89
9780878054909,Conversations with Bernard Malamud (Literary Conversations),Lawrence M. Lasher,University Press of Mississippi,4.0
9780374521028,The Tenants,Bernard Malamud/Aleksandar Hemon,Farrar  Straus and Giroux,3.65
9780822219750,Enchanted April: Acting Edition,Matthew Barber/Elizabeth von Arnim,Dramatists Play Service,3.61
9783458334224,April  May und June,Elizabeth von Arnim,Insel  Frankfurt,3.88
9781420925432,A Room with a View,E.M. Forster,Digireads.com,3.91
9780451521415,A Room with a View / Howards End,E.M. Forster/Benjamin DeMott,Signet,4.1
9780811202107,E.M. Forster: Critical Guidebook,Lionel Trilling/E.M. Forster,New Directions,3.51
9780141441481,The Longest Journey,E.M. Forster/Gilbert Adair/Elizabeth Heine,Penguin Classics,3.48
9780486424545,Howards End,E.M. Forster,Dover Publications,3.96
9780393310320,Maurice,E.M. Forster,W. W. Norton  Company,4.03
9780156286510,E. M. Forster: A Life,P.N. Furbank,Mariner Books,4.14
9780141183350,Howards End,E.M. Forster,Penguin Books,3.96
9780385314695,The Sixteen Pleasures,Robert Hellenga,Delta,3.59
9781594200939,Revolutionary Characters: What Made the Founders Different,Gordon S. Wood,Penguin Press HC  The,3.97
9780439847797,The Rescue (Kidnapped  #3),Gordon Korman,Scholastic Books,4.11
9780439651417,Hunting the Hunter (On the Run  #6),Gordon Korman,Scholastic,4.21
9780439651400,Public Enemies (On The Run  #5),Gordon Korman,Scholastic,4.19
9780380777587,Runaway Bride,Deborah  Gordon,Avon,4.25
9781860460586,The Bridge over the Drina,Ivo Andrić/William H. McNeill,The Harvill Press,4.33
9780750000338,Drina Dances in Paris,Jean Estoril,Simon and Schuster,4.16
9780750005944,Drina Ballerina,Jean Estoril,Hodder,4.16
9782253933212,Le Pont sur la Drina,Ivo Andrić/Pascale Delpech,Livre de Poche,4.33
9780750012638,Drina Dances in Italy,Jean Estoril,Hodder,4.08
9780750002462,Drina Goes on Tour,Jean Estoril/Mabel Esther Allan,Simon and Schuster,4.26
9780750002424,Drina Dances in Madeira,Jean Estoril/Mabel Esther Allan,Simon and Schuster,4.09
9781420926842,Phaedrus/Apology/Crito/Symposium,Plato/Benjamin Jowett,Digireads.com,3.0
9780300044881,The Dialogues of Plato  Volume 1: Euthyphro  Apology  Crito  Meno  Gorgias  Menexenus,Plato/Reginald E. Allen,Yale University Press,4.17
9780486427591,Gorgias/Timaeus,Plato/Benjamin Jowett,Dover Publications,3.74
9780674993389,Minor Works: On Colours/On Things Heard/Physiognomics/On Plants/On Marvellous Things Heard/Mechanical Problems/On Indivisible Lines/The...Gorgias,Aristotle/W.S. Hett,Loeb Classical Library 307,4.57
9780872203600,Aristophanes I: Clouds/Wasps/Birds,Aristophanes/Peter Meineck/Ian C. Storey,Hackett Publishing Company  Inc. (USA),3.77
9781420927320,The Trojan Women,Euripides/Gilbert Murray,Digireads.com,3.89
9780226307756,Greek Tragedies  Volume 2,David Grene/Richmond Lattimore/Aeschylus/Sophocles/Euripides,University Of Chicago Press,4.29
9780312304355,Moloka'i (Moloka'i #1),Alan Brennert,St. Martin's Griffin,4.17
9781416600305,Teaching with the Brain in Mind,Eric Jensen,Association for Supervision & Curriculum Development,4.11
9781840466386,Introducing Mind and Brain (Introducing...),Angus Gellatly/Oscar Zárate/Richard Appignanesi,Totem Books,3.54
9780553383829,Eva Luna,Isabel Allende/Margaret Sayers Peden,Dial Press,3.97
9780743217187,The Stories of Eva Luna,Isabel Allende,Scribner,3.97
9780070013568,Diez Cuentos de Eva Luna Con Guia de Comprension y Repaso de Gramatica,Isabel Allende/Richard D. Woods/Kenneth M. Taggart,McGraw-Hill Humanities/Social Sciences/Languages,3.97
9780060816193,El bosque de los pigmeos,Isabel Allende,HarperCollins Espanol,3.77
9780061161537,Inés of My Soul,Isabel Allende/Margaret Sayers Peden,Harper,3.93
9780060951306,La casa de los espíritus,Isabel Allende,HarperCollins Espanol,4.23
9780060951276,El plan infinito,Isabel Allende,Harper Perennial,3.72
9780060591717,El reino del dragón de oro,Isabel Allende,HarperCollins Espanol,3.84
9780060535032,City of the Beasts (Eagle and Jaguar  #1),Isabel Allende/Margaret Sayers Peden,Rayo,3.71
9780571219766,Self,Yann Martel,Faber  Faber,3.43
9783518399606,Die Brücke über die Drina,Ivo Andrić/Ernst E. Jonas,Suhrkamp,4.33
9780750002448,Drina Dances in Switzerland,Jean Estoril/Jenny Sanders,Hodder Children's Books,4.02
9780399239984,The Story of Salt,Mark Kurlansky/S.D. Schindler,G.P. Putnam's Sons Books for Young Readers,4.08
9780679643357,Nonviolence: Twenty-Five Lessons from the History of a Dangerous Idea,Mark Kurlansky/Dalai Lama XIV,Modern Library,4.0
9780345448194,Boogaloo on 2nd Avenue,Mark Kurlansky,Random House Trade,3.17
9780140275018,Cod: A Biography of the Fish That Changed the World,Mark Kurlansky,Penguin Books,3.91
9780345455826,1968: The Year That Rocked the World,Mark Kurlansky,Random House Trade Paperbacks,3.78
9780345448149,A Chosen Few: The Resurrection of European Jewry (Reader's Circle),Mark Kurlansky,Ballantine Books,3.87
9780140298512,The Basque History of the World: The Story of a Nation,Mark Kurlansky,Penguin Books,3.85
9780399234767,The Cod's Tale,Mark Kurlansky/S.D. Schindler,G.P. Putnam's Sons Books for Young Readers,3.91
9781890447175,Open City 6: The Only Woman He Ever Left,Open City Magazine/James Purdy/Daniel Pinchbeck/Michael Cunningham/Deborah Garrison/Rem Koolhaas/Rick Moody/Strawberry Saroyan/Debra Garrison,Grove Press  Open City Books,0.0
9780613359603,Harry Potter Y La Piedra Filosofal (Harry Potter  #1),J.K. Rowling,Turtleback Books,4.47
9780141185477,Angle of Repose,Wallace Stegner/Jackson J. Benson,Penguin Classics,4.27
9780321344755,Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,New Riders Publishing,4.25
9780060987329,Girlfriend in a Coma,Douglas Coupland,ReganBooks,3.62
9780679763970,Corelli's Mandolin,Louis de Bernières,Vintage,3.98
9780156030489,Kiffe Kiffe Tomorrow,Faïza Guène/Sarah    Adams,Mariner Books,3.4
9780060984380,Our Kind of People: Inside America's Black Upper Class,Lawrence Otis Graham,Harper Perennial,3.72
9780060184124,The Senator and the Socialite: The True Story of America's First Black Dynasty,Lawrence Otis Graham,Harper,3.95
9780815412182,Temptations,Otis Williams/Patricia Romanowski,Cooper Square Press,4.19
9780060837556,The Thorn Birds,Colleen McCullough,Avon Books,4.23
9780060510855,Caesar (Masters of Rome  #5),Colleen McCullough,Avon,4.37
9780380710843,Caesar's Women (Masters of Rome  #4),Colleen McCullough,Avon,4.25
9780743286428,On  Off (Carmine Delmonico  #1),Colleen McCullough,Simon & Schuster,3.52
9780517201664,Three Complete Novels: Tim/An Indecent Obsession/The Ladies of Missalonghi,Colleen McCullough,Wings,3.67
9780671024185,Morgan's Run,Colleen McCullough,Pocket Books,3.95
9780671024208,The October Horse: A Novel of Caesar and Cleopatra (Masters of Rome  #6),Colleen McCullough,Pocket Books,4.29
9780688093686,The First Man in Rome (Masters of Rome  #1),Colleen McCullough,William Morrow & Company (NYC),4.11
9780380710829,The Grass Crown (Masters of Rome  #2),Colleen McCullough,Avon,4.3
9780380711963,Tim,Colleen McCullough,Avon,3.81
9780764586682,O'Brien's the Things They Carried,Jill Colella/CliffsNotes,Cliffs Notes,3.69
9781401308582,The Five People You Meet in Heaven,Mitch Albom,Hyperion,3.93
9780099450252,The Curious Incident of the Dog in the Night-Time,Mark Haddon,Vintage,3.88
9780099456766,The Curious Incident of the Dog In the Night-time,Mark Haddon,Red Fox,3.88
9780385662239,The Curious Incident of the Dog in the Night-time,Mark Haddon,Doubleday Canada,3.88
9780767904414,Northern Lights,Tim O'Brien,Broadway Books,3.29
9780767904438,If I Die in a Combat Zone  Box Me Up and Ship Me Home,Tim O'Brien,Broadway Books,3.95
9780767904421,Going After Cacciato,Tim O'Brien,Broadway/Crown Publishing Group,3.91
9780618709861,In the Lake of the Woods,Tim O'Brien,Mariner Books,3.78
9780140259100,The Nuclear Age,Tim O'Brien,Penguin Books,3.45
9780446696128,The Rescue,Nicholas Sparks,Grand Central Publishing,4.11
9780446696135,A Bend in the Road,Nicholas Sparks,Grand Central Publishing,4.03
9780446696517,True Believer (Jeremy Marsh & Lexie Darnell  #1),Nicholas Sparks,Grand Central Publishing,3.8
9780446694858,Three Weeks With My Brother,Nicholas Sparks/Micah Sparks,Grand Central Publishing,4.03
9780446615860,The Wedding (The Notebook  #2),Nicholas Sparks,Vision,3.99
9788496284531,El Guardián,Nicholas Sparks/Ramón González Férriz,Roca Editorial,4.15
9780446691796,Nights in Rodanthe,Nicholas Sparks,Warner Books,3.84
9780446606813,Message in a Bottle,Nicholas Sparks,Grand Central Publishing,3.96
9780446693806,A Walk to Remember,Nicholas Sparks,Grand Central Publishing,4.17
9780142000205,Icy Sparks,Gwyn Hyman Rubio,Penguin Books,3.7
9780446676076,Message in a Bottle,Nicholas Sparks,Warner Books,3.96
9780061136955,Sugarplums and Scandal  (Love at Stake #2.5; Bed-and-Breakfast Mysteries #22.5),Lori Avocato/Dana Cameron/Mary Dahiem/Suzanne Macpherson/Cait London/Kerrelyn Sparks/Mary Daheim,Avon,3.98
9780670037773,Special Topics in Calamity Physics,Marisha Pessl,Penguin Books Ltd,3.71
9780767920742,The Dictionary of Corporate Bullshit: An A to Z Lexicon of Empty  Enraging  and Just Plain Stupid Office Talk,Lois Beckwith,Three Rivers Press,4.03
9780307264220,On Truth,Harry G. Frankfurt/Baruch Spinoza,Knopf,3.52
9780312349486,Twelve Sharp (Stephanie Plum  #12),Janet Evanovich,St. Martin's Press,4.15
9780671524098,Sharp Edges,Jayne Ann Krentz,Pocket Star Books,3.86
9780743210768,Mrs. Sharp's Traditions: Reviving Victorian Family Celebrations of Comfort & Joy,Sarah Ban Breathnach,Scribner Book Company,4.08
9780440420620,The Sly Spy (Olivia Sharp  Agent for Secrets #3),Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus,Yearling Books,3.85
9780440420637,The Green Toenails Gang (Olivia Sharp  Agent for Secrets #4),Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus,Yearling Books,3.77
9780440420590,The Pizza Monster (Olivia Sharp  Agent for Secrets #1),Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus,Yearling,3.54
9780307264121,The Spy Who Barked (Adam Sharp #1),George E. Stanley,Random House Books for Young Readers,3.43
9781421505473,Kare First Love  Vol. 9 (Kare First Love  #9),Kaho Miyasaka,VIZ Media LLC,4.06
8987059752000,The World's First Love: Mary  Mother of God,Fulton J. Sheen,Ignatius Press,4.59
9781421505480,Kare First Love  Vol. 10 (Kare First Love  #10),Kaho Miyasaka,VIZ Media LLC,4.09
9780871235961,The Tutor's First Love,George MacDonald/Michael R. Phillips,Bethany House Publishers,4.08
9780974607894,First Love,Ivan Turgenev/Constance Garnett,Melville House Publishing,3.78
9780767916912,Love @ First Site,Jane Moore,Broadway Books,3.41
9780373706402,First Love  Second Chance,Amanda Clark,Harlequin Superromance,3.73
9781903582411,The Modern Prince: Charles J. Haughey and the Quest for Power,Justin   O'Brien,Merlin Publishing,3.5
9780717801336,The Modern Prince and Other Writings,Antonio Gramsci,International Publishers,3.89
9780553233704,Emily of New Moon (Emily  #1),L.M. Montgomery,Dell Laurel-Leaf,4.1
9780195421163,The Selected Journals Of L.M. Montgomery  Vol. 5: 1935-1942,L.M. Montgomery/Mary Henley Rubio/Elizabeth Hillman Waterston,Oxford University Press  USA,4.24
9780553565928,Against the Odds: Tales of Achievement,L.M. Montgomery/Rea Wilmshurst,Bantam Starfire,3.83
9780786180301,Anne of Avonlea,L.M. Montgomery/Susan O'Malley,Blackstone Audiobooks,4.23
9780770422455,A Tangled Web,L.M. Montgomery,Seal Books,3.88
7678360941900,The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8),L.M. Montgomery,Starfire,4.43
9780770422479,Pat of Silver Bush (Pat  #1),L.M. Montgomery,Seal Books,3.9
9780553212419,Sherlock Holmes: The Complete Novels and Stories  Volume I,Arthur Conan Doyle,Bantam Classics,4.47
9780393059168,The New Annotated Sherlock Holmes: The Complete Short Stories,Arthur Conan Doyle/Leslie S. Klinger,W. W. Norton & Company,4.64
9780393058000,The New Annotated Sherlock Holmes: The Novels,Arthur Conan Doyle/Leslie S. Klinger,W. W. Norton & Company,4.53
9780471648796,The Science of Sherlock Holmes: From Baskerville Hall to the Valley of Fear  the Real Forensics Behind the Great Detective's Greatest Cases,E.J. Wagner,Wiley,4.22
9781598870299,Sherlock Holmes: A Baker Street Dozen,Arthur Conan Doyle/John Gielgud/Ralph Richardson/Orson Welles,HighBridge Company,3.96
9780871139474,Sherlock Holmes: The Unauthorized Biography,Nick Rennison,Atlantic Monthly Press,4.26
9780743564670,Murder by Moonlight & Other Mysteries (New Adventures of Sherlock Holmes 19-24),NOT A BOOK,Simon  Schuster Audio,4.0
9780448409573,The Mysteries of Sherlock Holmes,Arthur Conan Doyle/Paul Bachem,Grosset & Dunlap,4.18
9780517174968,The Complete Adventures and Memoirs of Sherlock Holmes,Arthur Conan Doyle,Gramercy Books,4.33
9780743533959,The Unfortunate Tobacconist & Other Mysteries (Sherlock Holmes 1-6),NOT A BOOK,Simon & Schuster Audio,3.5
9780470038321,Personal Finance For Dummies,Eric Tyson,For Dummies,3.77
